Name,IconFile,UnlockArena,Rarity,ManaCost,ManaCostFromSummonerMana,NotInUse,Mirror,CustomDeployTime,SummonCharacter,SummonNumber,Radius,RadiusRangeIncrease,Projectile,InstantDamage,DamagePerSecond,DurationSeconds,InstantHeal,HealPerSecond,Effect,DamageType,Pushback,MultipleProjectiles,CustomFirstProjectile,BuffTime,BuffTimeIncreasePerLevel,BuffNumber,BuffType,BuffOnDamage,OnlyOwnTroops,OnlyEnemies,CanDeployOnEnemySide,CastSound,AreaEffectObject,TID,TID_INFO,TID_FLAVOR
string,string,string,string,int,boolean,boolean,boolean,int,string,int,int,int,string,int,int,int,int,int,string,string,int,int,string,int,int,int,string,string,boolean,boolean,boolean,string,string,string,string,string
Fireball,fire_fireball,TrainingCamp,Legendary,4,,,,,,,,,FireballSpell,,,,,,,,,,,,,,,,,true,,Fire ball,,TID_SPELL_FIREBALL,TID_SPELL_INFO_FIREBALL,
Arrows,order_volley,TrainingCamp,Legendary,3,,,,,,,4000,,ArrowsSpellDeco,,,,,,Cast_RainOfArrows,,,15,ArrowsSpell,,,,,,,true,,SpellCasting,,TID_SPELL_ARROWS,TID_SPELL_INFO_ARROWS,
Rage,rage,Arena3,Legendary,3,,,,,,,,,,,,,,,,,,,,,,,,,true,,,SpellCasting,Rage,TID_SPELL_RAGE,TID_SPELL_INFO_RAGE,
Rocket,rocket,Arena3,Legendary,6,,,,,,,,,RocketSpell,,,,,,,,,,,,,,,,,true,,sound_rocket_spawn,,TID_SPELL_ROCKET,TID_SPELL_INFO_ROCKET,
GoblinBarrel,goblin_barrel,Arena1,Legendary,4,,,,,,,,,GoblinBarrelSpell,,,,,,goblin_barrel_spawn,,,,,,,,,,,true,,sound_goblin_barrel_spawn,,TID_SPELL_GOBLIN_BARREL,TID_SPELL_INFO_GOBLIN_BARREL,
Freeze,freeze,Arena4,Legendary,4,,,,,,,,,,,,,,,Spell_freeze_cast,,,,,,,,,,,true,,SpellCasting,Freeze,TID_SPELL_FREEZE,TID_SPELL_INFO_FREEZE,
Mirror,mirror,Arena5,Legendary,1,,,true,,,,,,,,,,,,,,,,,,,,,,,,,SpellCasting,,TID_SPELL_MIRROR,TID_SPELL_INFO_MIRROR,
Lightning,lightning,Arena1,Legendary,6,,,,,,,3500,,,,,,,,,,,,,,,,,,,true,,SpellCasting,Lightning,TID_SPELL_LIGHTNING,TID_SPELL_INFO_LIGHTNING,
Zap,zap,Arena5,Legendary,2,,,,,,,2500,,,,,,,,,,,,,,,,,,,true,,SpellCasting,Zap,TID_SPELL_ZAP,TID_SPELL_INFO_ZAP,
Poison,poison,Arena5,Legendary,4,,,,,,,3500,,,,,,,,,,,,,,,,,,,true,,SpellCasting,Poison,TID_SPELL_POISON,TID_SPELL_INFO_POISON,
