Name,TID,TauntMenu,FileName,ExportName,IconExportName,BtnExportName,Sound
String,String,Boolean,string,string,string,string,string
Taunt1,TID_EMOTE1,,,,,taunt_btn_01,
Taunt2,TID_EMOTE2,,,,,taunt_btn_02,
Taunt3,TID_EMOTE3,,,,,taunt_btn_03,
Taunt4,TID_EMOTE4,,,,,taunt_btn_04,
Taunt5,TID_EMOTE5,,,,,taunt_btn_05,
Taunt6,TID_EMOTE6,,,,,taunt_btn_06,
NPC1_Start,NPC1_TAUNT_START,TRUE,,,,taunt_btn_01,
NPC1_Tower,NPC1_TAUNT_TOWER,TRUE,,,,taunt_btn_02,
NPC1_Deploy,NPC1_TAUNT_DEPLOY,TRUE,,,,taunt_btn_03,
NPC1_Attack,NPC1_TAUNT_ATTACK,TRUE,,,,taunt_btn_04,
NPC2_Start,NPC2_TAUNT_START,TRUE,,,,taunt_btn_05,
NPC2_Tower,NPC2_TAUNT_TOWER,TRUE,,,,taunt_btn_06,
NPC3_Start,NPC3_TAUNT_START,,,,,,
NPC3_Tower,NPC3_TAUNT_TOWER,,,,,,
NPC4_Start,NPC4_TAUNT_START,,,,,,
NPC4_Tower,NPC4_TAUNT_TOWER,,,,,,
NPC16_Start,NPC16_TAUNT_START,,,,,,
TauntGfx1,,TRUE,sc/ui.sc,sticker_thumbs_anim,sticker_thumbs_icon,emoji_btn_01,sound_king_congratulate
TauntGfx2,,TRUE,sc/ui.sc,sticker_angry_anim,sticker_angry_icon,emoji_btn_02,sound_king_mad
TauntGfx3,,TRUE,sc/ui.sc,sticker_cry_anim,sticker_cry_icon,emoji_btn_03,sound_king_crying
TauntGfx4,,TRUE,sc/ui.sc,sticker_lol_anim,sticker_lol_icon,emoji_btn_04,sound_king_happy
